2026-04-10 09:52:03,911 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 09:52:24,904 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:52:24,905 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:52:31,894 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 09:52:32,731 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:52:32,732 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:56:24,506 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 09:56:29,363 | INFO | sector_scanner | Continuous loop: full_scan every 180.0s, tick refresh every 5.0s (max_events=20)
2026-04-10 09:56:32,180 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:56:33,012 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 09:56:33,115 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=5 adjusted_scores=53 leader_groups=5
2026-04-10 09:56:38,499 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=7 adjusted_scores=53 leader_groups=5
2026-04-10 09:56:43,874 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=53 leader_groups=5
2026-04-10 09:56:49,230 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=10 adjusted_scores=53 leader_groups=5
2026-04-10 09:56:53,586 | INFO | sector_scanner | Continuous loop stopped by user (KeyboardInterrupt).
2026-04-10 09:56:53,587 | INFO | sector_scanner | Done (loop). state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
