strategy_id,total_return,cagr,mdd,win_rate,profit_factor,avg_gain,avg_loss,avg_holding_days,params_json
breakout_fail,-0.1679870954668251,-0.22464940248605947,-0.3469269761239253,0.3931034482758621,0.9201592387551529,1399616.9301172956,-985231.7064536095,3.503448275862069,"{""entry_ma"": 10, ""lookback"": 120}"
volatility,-0.17725485242734895,-0.23657275009487455,-0.17841286535046608,0.3333333333333333,0.2765174017726812,133083.68648640704,-240642.51586562383,5.217948717948718,"{""exit_ma"": 20, ""low_window"": 120, ""vol_window"": 10}"
volatility,-0.1861450809822205,-0.24796209407899594,-0.2090517682340094,0.3310810810810811,0.6175185835997318,291809.4123413976,-233889.18988955006,5.04054054054054,"{""exit_ma"": 10, ""low_window"": 40, ""vol_window"": 10}"
mean_reversion,-0.1891401669610997,-0.2517884160018439,-0.23426839668990518,0.47474747474747475,0.5727161907742085,269286.17685096327,-424980.6084609809,7.838383838383838,"{""window"": 10, ""z_buy"": -1.5, ""z_sell"": -0.2}"
mean_reversion,-0.1891401669610997,-0.2517884160018439,-0.23426839668990518,0.47474747474747475,0.5727161907742085,269286.17685096327,-424980.6084609809,7.838383838383838,"{""window"": 10, ""z_buy"": -1.0, ""z_sell"": -0.2}"
golden_cross,-0.21709165975668088,-0.2872345472509962,-0.3191041091234973,0.23880597014925373,0.6981459899254536,1546776.0957354526,-695073.947083756,10.074626865671641,"{""fast"": 5, ""slow"": 60}"
disparity,-0.22264479609799115,-0.29421957895226414,-0.42552398500513755,0.2777777777777778,0.7745202510820263,1472449.1441524485,-731196.6254124587,8.577777777777778,"{""buy_below"": -0.04, ""ma"": 20, ""sell_above"": 0.0}"
disparity,-0.22264479609799115,-0.29421957895226414,-0.42552398500513755,0.2777777777777778,0.7745202510820263,1472449.1441524485,-731196.6254124587,8.577777777777778,"{""buy_below"": -0.06, ""ma"": 20, ""sell_above"": 0.0}"
volatility,-0.23010518175913242,-0.30357355153567456,-0.23118880789973528,0.3235294117647059,0.2884990254852989,141320.3902566521,-234274.66563448205,4.1568627450980395,"{""exit_ma"": 10, ""low_window"": 120, ""vol_window"": 10}"
golden_cross,-0.2391680087798188,-0.31488999634080583,-0.3072625341620012,0.3333333333333333,0.6182669508960454,849398.935735801,-686919.2462129663,10.453333333333333,"{""fast"": 10, ""slow"": 20}"
mean_reversion,-0.2623475607471183,-0.343597935631755,-0.2829793082367802,0.39215686274509803,0.471767052001803,282824.6632097373,-386774.62505530386,7.480392156862745,"{""window"": 10, ""z_buy"": -2.0, ""z_sell"": -0.5}"
disparity,-0.28778759666829345,-0.3747093441651004,-0.4867621639654298,0.2857142857142857,0.7221757089398156,1296092.1440909484,-717881.8827864848,7.877551020408164,"{""buy_below"": -0.06, ""ma"": 20, ""sell_above"": -0.01}"
disparity,-0.28778759666829345,-0.3747093441651004,-0.4867621639654298,0.2857142857142857,0.7221757089398156,1296092.1440909484,-717881.8827864848,7.877551020408164,"{""buy_below"": -0.04, ""ma"": 20, ""sell_above"": -0.01}"
disparity,-0.3237646661096024,-0.41798185166405444,-0.4897127706797568,0.2828282828282828,0.6998239197679602,1298109.6038318053,-731513.3614749091,7.707070707070707,"{""buy_below"": -0.06, ""ma"": 20, ""sell_above"": -0.02}"
disparity,-0.3237646661096024,-0.41798185166405444,-0.4897127706797568,0.2828282828282828,0.6998239197679602,1298109.6038318053,-731513.3614749091,7.707070707070707,"{""buy_below"": -0.04, ""ma"": 20, ""sell_above"": -0.02}"
week52_high,-0.36027222667218395,-0.46099851972279027,-0.3689951087917863,0.3611111111111111,0.6191150685186302,1106856.0753958991,-1010497.6203883381,6.75,"{""exit_ma"": 10, ""window"": 126}"
golden_cross,-0.37372994017694927,-0.47662240950474344,-0.4710270600712445,0.20634920634920634,0.44784763015644585,1122024.9948601355,-651396.7676053725,11.380952380952381,"{""fast"": 5, ""slow"": 20}"
disparity,-0.40244325459418373,-0.509526580740152,-0.4386820324098962,0.2441860465116279,0.5787364692875526,1268924.9543742244,-708371.4119129675,8.80232558139535,"{""buy_below"": -0.08, ""ma"": 20, ""sell_above"": 0.0}"
disparity,-0.4340593947690674,-0.545061324459257,-0.5722233970809694,0.2828282828282828,0.5844960791813935,1065790.4147899796,-719100.9963036572,7.747474747474747,"{""buy_below"": -0.08, ""ma"": 20, ""sell_above"": -0.02}"
breakout_fail,-0.43946882468540005,-0.5510664414622373,-0.7317843950074278,0.3898305084745763,0.8359138315708462,1135333.196212378,-867735.0904503143,3.2711864406779663,"{""entry_ma"": 10, ""lookback"": 20}"
